64 64 X 0
80 32 X 0
128 64 X 0
112 96 X 0
48 96 X 1
64 80 X 0
128 80 X 0
96 128 X 1
144 32 X 3
0 0 X 4
16 128 X 2
96 0 X 3
80 48 X 0
32 112 X 2
0 144 X 2
112 112 X 0
64 96 X 0
128 96 X 0
80 64 X 0
48 112 X 2
64 112 X 0
16 144 X 2
96 144 X 1
144 48 X 3
96 16 X 3
0 16 X 4
80 80 X 0
112 128 X 1
32 128 X 2
16 0 X 4
128 112 X 1
80 96 X 0
96 32 X 0
48 128 X 2
64 128 X 2
144 64 X 3
32 0 X 4
80 112 X 0
0 32 X 4
112 0 X 3
96 48 X 0
32 144 X 2
16 16 X 4
112 144 X 1
128 128 X 1
96 64 X 0
48 144 X 2
64 144 X 2
80 128 X 1
32 16 X 4
144 80 X 1
0 48 X 4
96 80 X 0
16 32 X 4
112 16 X 3
48 0 X 4
128 144 X 1
96 96 X 0
64 0 X 4
128 0 X 3
80 144 X 1
32 32 X 4
112 32 X 0
144 96 X 1
0 64 X 4
96 112 X 0
80 0 X 3
16 48 X 4
144 0 X 3
64 16 X 4
112 48 X 0
48 16 X 4
128 16 X 3
32 48 X 4
0 80 X 2
144 112 X 1
64 32 X 0
112 64 X 0
80 16 X 3
16 64 X 4
64 48 X 0
144 16 X 3
112 80 X 0
48 32 X 4
32 64 X 4
128 32 X 3
144 128 X 1
0 96 X 2
16 80 X 2
128 48 X 0
48 48 X 3
32 80 X 2
144 144 X 1
0 112 X 2
16 96 X 2
32 96 X 2
48 64 X 2
0 128 X 2
16 112 X 2
48 80 X 4
64 104 X 0
64 40 X 0
56 96 X 0
88 128 X 1
64 120 X 1
104 136 X 1
32 40 X 4
8 136 X 2
0 56 X 4
72 96 X 0
8 64 X 4
128 136 X 1
56 48 X 0
136 96 X 1
72 112 X 0
72 104 X 0
16 136 X 2
112 136 X 1
40 32 X 4
88 136 X 1
8 48 X 4
8 72 X 4
80 104 X 0
16 136 X 2
16 72 X 4
120 144 X 1
128 104 X 4
72 112 X 0
72 120 X 1
24 128 X 2
104 144 X 1
16 72 X 4
8 56 X 4
80 120 X 0
96 136 X 1
40 40 X 4
136 96 X 1
8 144 X 2
128 40 X 2
24 64 X 4
0 24 X 4
24 136 X 2
112 24 X 3
88 144 X 1
72 128 X 1
8 80 X 2
16 56 X 4
48 40 X 4
136 104 X 1
96 24 X 0
8 16 X 4
64 24 X 3
24 72 X 4
136 32 X 3
32 136 X 2
64 136 X 2
120 16 X 3
32 104 X 2
8 64 X 4
144 104 X 1
104 16 X 3
40 48 X 4
8 24 X 4
72 16 X 3
24 144 X 2
80 40 X 0
136 40 X 3
72 128 X 1
120 24 X 3
40 96 X 2
88 32 X 0
136 112 X 1
104 24 X 4
16 24 X 4
48 104 X 2
32 56 X 4
88 40 X 0
72 24 X 3
64 56 X 0
72 136 X 2
144 40 X 3
128 24 X 3
40 104 X 2
56 96 X 0
96 40 X 0
72 48 X 0
112 24 X 3
80 24 X 0
8 32 X 4
88 48 X 0
80 136 X 1
72 56 X 0
104 32 X 0
40 48 X 4
72 32 X 0
136 48 X 3
120 32 X 2
48 104 X 2
56 104 X 4
80 56 X 0
80 56 X 0
112 40 X 0
64 104 X 0
128 56 X 0
0 40 X 4
88 48 X 0
72 144 X 2
72 64 X 0
112 120 X 1
128 136 X 1
40 112 X 2
40 56 X 4
88 56 X 0
80 24 X 0
120 32 X 2
56 112 X 1
8 32 X 4
136 48 X 3
96 56 X 0
0 8 X 4
120 112 X 4
120 40 X 0
64 8 X 4
136 128 X 1
136 56 X 0
48 56 X 1
88 64 X 0
88 16 X 3
48 120 X 2
8 40 X 4
8 0 X 4
88 24 X 0
120 120 X 1
80 72 X 0
72 0 X 4
136 136 X 1
40 64 X 4
144 56 X 3
128 40 X 2
88 64 X 0
96 24 X 0
136 64 X 0
8 8 X 4
128 120 X 1
56 112 X 1
120 48 X 0
16 40 X 4
72 8 X 4
144 136 X 1
88 32 X 0
128 72 X 0
112 104 X 0
120 128 X 1
136 64 X 0
80 120 X 0
56 120 X 2
16 8 X 4
120 96 X 0
80 8 X 3
8 48 X 4
88 112 X 0
136 144 X 1
96 120 X 0
136 72 X 0
120 104 X 0
88 120 X 0
104 112 X 0
8 16 X 4
64 120 X 1
80 8 X 3
72 16 X 3
96 120 X 0
64 88 X 0
128 104 X 4
104 120 X 2
48 24 X 4
144 72 X 3
72 80 X 0
88 0 X 3
88 128 X 1
32 136 X 2
72 88 X 0
136 80 X 0
56 128 X 2
120 112 X 4
112 120 X 1
80 88 X 0
80 136 X 1
56 16 X 4
128 88 X 0
40 128 X 2
88 8 X 3
72 96 X 0
112 136 X 1
48 136 X 2
104 128 X 1
136 80 X 0
56 24 X 4
40 136 X 2
120 128 X 1
136 88 X 0
96 8 X 3
96 136 X 1
56 128 X 2
120 136 X 1
48 136 X 2
64 24 X 3
144 88 X 1
88 16 X 3
104 128 X 1
56 136 X 2
56 32 X 3
40 144 X 2
64 136 X 2
32 72 X 0
48 40 X 4
56 144 X 2
0 136 X 2
24 80 X 2
56 32 X 3
8 128 X 2
48 56 X 1
56 40 X 2
56 48 X 0
56 56 X 0
64 56 X 0
56 64 X 0
32 72 X 0
88 72 X 0
48 72 X 4
40 64 X 4
56 64 X 0
56 72 X 0
40 72 X 4
64 72 X 0
56 80 X 0
48 72 X 4
48 88 X 3
40 80 X 2
56 80 X 0
56 88 X 0
32 88 X 2
64 88 X 0
40 80 X 2
40 88 X 2
48 88 X 3
40 96 X 2
0 72 X 4
96 72 X 0
88 80 X 0
56 100 X 0
52 36 X 3
4 64 X 4
60 112 X 1
80 124 X 1
48 28 X 4
80 20 X 3
32 52 X 4
60 144 X 2
48 20 X 4
68 24 X 3
4 132 X 2
52 104 X 1
56 100 X 0
76 128 X 1
60 116 X 1
56 36 X 3
4 68 X 4
52 24 X 4
36 48 X 4
84 16 X 3
8 132 X 2
16 132 X 2
60 96 X 0
52 16 X 4
48 116 X 2
60 100 X 0
16 68 X 4
64 116 X 1
52 40 X 3
52 28 X 4
8 68 X 4
36 52 X 4
4 136 X 2
84 20 X 3
20 128 X 2
64 100 X 0
52 20 X 4
52 112 X 2
60 120 X 2
60 104 X 0
20 64 X 4
48 52 X 3
56 28 X 4
4 72 X 4
72 140 X 2
40 52 X 4
20 132 X 2
88 20 X 3
56 20 X 4
52 116 X 2
84 24 X 0
32 132 X 2
52 48 X 2
52 32 X 4
20 68 X 4
80 124 X 1
76 136 X 2
72 12 X 4
36 56 X 4
24 132 X 2
84 120 X 0
52 24 X 4
0 140 X 2
36 128 X 2
56 116 X 2
52 52 X 4
64 116 X 1
76 140 X 2
32 68 X 4
24 68 X 4
76 8 X 4
20 136 X 2
56 52 X 0
68 112 X 0
40 108 X 2
84 124 X 1
36 132 X 2
52 120 X 2
4 136 X 2
80 140 X 1
52 56 X 0
20 72 X 4
36 64 X 4
76 12 X 3
48 140 X 2
68 116 X 3
88 124 X 1
44 104 X 2
40 132 X 2
72 116 X 0
76 144 X 2
48 132 X 2
4 140 X 2
48 68 X 2
72 116 X 0
52 136 X 2
36 68 X 4
76 112 X 0
80 12 X 3
52 64 X 0
84 128 X 1
44 108 X 2
72 132 X 2
36 136 X 2
8 140 X 2
52 68 X 0
76 116 X 0
52 128 X 2
68 120 X 1
88 28 X 0
52 140 X 2
40 68 X 4
56 68 X 0
76 16 X 3
92 24 X 0
80 116 X 0
76 128 X 1
56 108 X 1
4 144 X 2
48 108 X 2
52 132 X 2
64 132 X 2
92 28 X 0
56 140 X 2
60 104 X 0
36 72 X 4
96 28 X 0
76 132 X 1
48 108 X 2
76 120 X 3
60 108 X 0
136 140 X 1
68 128 X 2
44 112 X 2
92 32 X 0
52 144 X 2
56 132 X 2
64 108 X 0
