0 1 X 4
0 6 X 2
0 9 X 2
0 5 X 2
0 0 X 4
0 3 X 4
1 1 X 4
1 0 X 4
0 8 X 2
0 2 X 4
0 7 X 2
0 4 X 4
1 3 X 4
1 2 X 4
1 4 X 4
1 8 X 2
1 5 X 2
1 6 X 2
1 7 X 2
1 9 X 2
2 0 X 4
2 1 X 4
2 2 X 4
2 3 X 4
2 4 X 4
2 5 X 2
2 7 X 2
2 8 X 2
2 9 X 2
2 6 X 2
3 0 X 4
3 1 X 4
3 3 X 3
3 2 X 4
3 4 X 2
3 5 X 4
4 3 X 0
4 5 X 0
4 4 X 0
4 2 X 0
4 6 X 0
4 7 X 0
3 7 X 2
3 8 X 2
3 6 X 1
3 9 X 2
4 1 X 4
4 0 X 4
5 2 X 0
5 3 X 0
5 4 X 0
5 5 X 0
5 6 X 0
5 7 X 0
4 8 X 2
4 9 X 2
5 0 X 3
5 1 X 3
6 2 X 0
6 3 X 0
6 4 X 0
5 8 X 1
6 5 X 0
6 6 X 0
5 9 X 1
6 7 X 0
6 0 X 3
6 1 X 3
7 2 X 0
7 3 X 0
7 5 X 0
7 4 X 0
7 6 X 0
7 7 X 0
6 9 X 1
6 8 X 1
7 1 X 3
7 0 X 3
8 3 X 0
8 4 X 0
7 8 X 1
8 5 X 0
8 6 X 0
7 9 X 1
8 0 X 3
8 1 X 3
8 2 X 3
8 7 X 1
8 8 X 1
8 9 X 1
9 1 X 3
9 0 X 3
9 2 X 3
9 3 X 3
9 4 X 3
9 5 X 1
9 6 X 1
9 8 X 1
9 7 X 1
9 9 X 1
